courseCode,degreeCode
SC1003,CSC
SC1004,CSC
SC1005,CSC
MH1812,CSC
CC0003,CSC
CC0005,CSC
HW0001,CSC
SC1006,CSC
SC1007,CSC
SC1008,CSC
SC2000,CSC
SC2002,CSC
CC0001,CSC
CC0002,CSC
SC2001,CSC
SC2005,CSC
SC2203,CSC
SC2006,CSC
SC2008,CSC
CC0007,CSC
SC2207,CSC
CC0006,CSC
ML0004,CSC
SC2079,CSC
HW0288,CSC
SC3079,CSC
SC4079,CSC
SC3000,CSC
SC4000,CSC
SC4001 ,CSC
SC4002,CSC
SC4003,CSC
SC4061,CSC
SC3010,CSC
SC4010,CSC
SC4011,CSC
SC4012,CSC
SC4013,CSC
SC4014,CSC
SC4015,CSC
SC4016,CSC
SC3020,CSC
SC4020,CSC
SC4021,CSC
SC4022,CSC
SC4023,CSC
SC4024,CSC
SC3030,CSC
SC3040,CSC
SC3050,CSC
SC3060,CSC
SC3061,CSC
SC4030,CSC
SC4031,CSC
SC4040,CSC
SC4050,CSC
SC4051,CSC
SC4052,CSC
SC4053,CSC
SC4054,CSC
SC4060,CSC
SC4242,CSC
SC1003,CE
SC1004,CE
SC1005,CE
SC1013,CE
EG1001,CE
CC0003,CE
CC0005,CE
HW0001,CE
SC1006,CE
SC1007,CE
SC1008,CE
SC2000,CE
MH1812,CE
CC0001,CE
CC0002,CE
SC2001,CE
SC2002,CE
SC2006,CE
SC2008,CE
SC2107,CE
CC0007,CE
SC2103,CE
SC2005,CE
SC2104,CE
SC3102,CE
CC0006,CE
ML0004,CE
SC3103,CE
SC2079,CE
HW0288,CE
SC3920,CE
SC4079,CE
SC3000,CE
SC4000,CE
SC4001 ,CE
SC4002,CE
SC4003,CE
SC4061,CE
SC4172,CE
SC3010,CE
SC4010,CE
SC4011,CE
SC4012,CE
SC4013,CE
SC4014,CE
SC4015,CE
SC4016,CE
SC4020,CE
SC4021,CE
SC4022,CE
SC3030,CE
SC4030,CE
SC4031,CE
SC4015,CE
SC4031,CE
SC4172,CE
SC3020,CE
SC3040,CE
SC3050,CE
SC4040,CE
SC4050,CE
SC4051,CE
SC4052,CE
SC4053,CE
SC4054,CE
SC4060,CE
MH1805,DSAI
MH1812,DSAI
MH2802,DSAI
MH2100,DSAI
MH2500,DSAI
MH3500,DSAI
MH3511,DSAI
SC1007,DSAI
SC2001,DSAI
SC2002,DSAI
SC2006,DSAI
SC2207,DSAI
SC3000,DSAI
SC3021,DSAI
SC1015,DSAI
SC4000,DSAI
SC4020,DSAI
SC3020,DSAI
SC4001 ,DSAI
SC4002,DSAI
SC4003,DSAI
SC4010,DSAI
SC4013,DSAI
SC4021,DSAI
SC4022,DSAI
SC4023,DSAI
SC4024,DSAI
SC4025,DSAI
SC4050,DSAI
SC4052,DSAI
SC4061,DSAI
MH3510,DSAI
MH3701,DSAI
MH4500,DSAI
MH4501,DSAI
MH4511,DSAI
MH4513,DSAI
MH4515,DSAI
MH4516,DSAI
MH4517,DSAI
MH4518,DSAI
SC1003,BCG
SC1004,BCG
AB1202,BCG
AB1301,BCG
CC0003,BCG
CC0005,BCG
SC1005,BCG
SC1007,BCG
SC1008,BCG
MH1812,BCG
AD1102,BCG
AB1601,BCG
CC0001,BCG
CC0002,BCG
AB1003,BCG
SC1006,BCG
SC2000,BCG
AB0602,BCG
SB2008,BCG
BC2402,BCG
BC2406,BCG
CC0007,BCG
SC2001,BCG
SC2203,BCG
AB1201,BCG
BC2407,BCG
CC0006,BCG
ML0004,BCG
SC2002,BCG
SC2005,BCG
SC2006,BCG
SC2008,BCG
AB1501,BCG
SC2079,BCG
AD2102,BCG
SC4079,BCG
AB3602,BCG
SC4079,BCG
SC3000,BCG
SC4000,BCG
SC4001 ,BCG
SC4002,BCG
SC4003,BCG
SC4061,BCG
SC3010,BCG
SC4010,BCG
SC4011,BCG
SC4012,BCG
SC4013,BCG
SC4014,BCG
SC4015,BCG
SC4016,BCG
SC3020,BCG
SC4020,BCG
SC4021,BCG
SC4022,BCG
SC4023,BCG
SC4024,BCG
SC3030,BCG
SC3040,BCG
SC3050,BCG
SC3060,BCG
SC3061,BCG
SC4030,BCG
SC4031,BCG
SC4040,BCG
SC4050,BCG
SC4051,BCG
SC4052,BCG
SC4053,BCG
SC4054,BCG
SC4060,BCG
SC4242,BCG
SC1003,BCE
SC1013,BCE
SC1004,BCE
EG1001,BCE
AB1202,BCE
AB1301,BCE
CC0003,BCE
CC0005,BCE
SC1005,BCE
SC1007,BCE
SC1008,BCE
MH1812,BCE
AD1102,BCE
AB1601,BCE
CC0001,BCE
CC0002,BCE
AB1003,BCE
SC1006,BCE
SC2000,BCE
AB0602,BCE
AB2008,BCE
BC2402,BCE
BC2406,BCE
CC0007,BCE
SC2001,BCE
SC2103,BCE
AB1201,BCE
BC2407,BCE
CC0006,BCE
ML0004,BCE
SC2002,BCE
SC2005,BCE
SC2006,BCE
SC2008,BCE
SC2107,BCE
AB1501,BCE
SC2079,BCE
SC2104,BCE
SC3102,BCE
SC3103,BCE
AD2102,BCE
SC4079,BCE
AB3602,BCE
HE5091,BCE
SC3000,BCE
SC4000,BCE
SC4001 ,BCE
SC4002,BCE
SC4003,BCE
SC4061,BCE
SC3010,BCE
SC4010,BCE
SC4011,BCE
SC4012,BCE
SC4013,BCE
SC4014,BCE
SC4015,BCE
SC4016,BCE
SC3020,BCE
SC4020,BCE
SC4021,BCE
SC4022,BCE
SC4023,BCE
SC4024,BCE
SC3030,BCE
SC3040,BCE
SC3050,BCE
SC3060,BCE
SC3061,BCE
SC4030,BCE
SC4031,BCE
SC4040,BCE
SC4050,BCE
SC4051,BCE
SC4052,BCE
SC4053,BCE
SC4054,BCE
SC4060,BCE
SC4242,BCE
SC1003,CEEcons
SC1013,CEEcons
SC1005,CEEcons
EG1001,CEEcons
HE1001,CEEcons
HE1002,CEEcons
CC0003,CEEcons
CC0005,CEEcons
SC1004,CEEcons
SC1007,CEEcons
MH1812,CEEcons
SC1008,CEEcons
HE2001,CEEcons
CC0001,CEEcons
CC0002,CEEcons
SC1006,CEEcons
SC2000,CEEcons
SC2107,CEEcons
HE3001,CEEcons
CC0006,CEEcons
ML0004,CEEcons
SC2001,CEEcons
SC2002,CEEcons
SC2103,CEEcons
HE2002,CEEcons
MH1820,CEEcons
CC0007,CEEcons
SC2005,CEEcons
SC2006,CEEcons
SC2008,CEEcons
SC2104,CEEcons
HE2003,CEEcons
HE3002,CEEcons
SC2079,CEEcons
SC3103,CEEcons
HE3003,CEEcons
HW0288,CEEcons
SC3102,CEEcons
SC3920,CEEcons
SC4079,CEEcons
SC3000,CEEcons
SC4000,CEEcons
SC4001 ,CEEcons
SC4002,CEEcons
SC4003,CEEcons
SC4061,CEEcons
SC3010,CEEcons
SC4010,CEEcons
SC4011,CEEcons
SC4012,CEEcons
SC4013,CEEcons
SC4014,CEEcons
SC4015,CEEcons
SC4016,CEEcons
SC3020,CEEcons
SC4020,CEEcons
SC4021,CEEcons
SC4022,CEEcons
SC4023,CEEcons
SC4024,CEEcons
SC3030,CEEcons
SC3040,CEEcons
SC3050,CEEcons
SC3060,CEEcons
SC3061,CEEcons
SC4030,CEEcons
SC4031,CEEcons
SC4040,CEEcons
SC4050,CEEcons
SC4051,CEEcons
SC4052,CEEcons
SC4053,CEEcons
SC4054,CEEcons
SC4060,CEEcons
SC4242,CEEcons
SC1003,CSEcons
SC1005,CSEcons
HE1001,CSEcons
HE1002,CSEcons
CC0003,CSEcons
CC0005,CSEcons
SC1004,CSEcons
SC1007,CSEcons
SC1008,CSEcons
MH1812,CSEcons
HE2001,CSEcons
CC0001,CSEcons
CC0002,CSEcons
SC1006,CSEcons
SC2000,CSEcons
SC2002,CSEcons
HE3001,CSEcons
CC0006,CSEcons
ML0004,CSEcons
SC2001,CSEcons
SC2005,CSEcons
SC2006,CSEcons
HE2002,CSEcons
MH1820,CSEcons
CC0007,CSEcons
SC2203,CSEcons
SC2207,CSEcons
SC2008,CSEcons
HE2003,CSEcons
HE3002,CSEcons
SC2079,CSEcons
HE3003,CSEcons
HW0288,CSEcons
SC3920,CSEcons
SC4079,CSEcons
SC3000,CSEcons
SC4000,CSEcons
SC4001 ,CSEcons
SC4002,CSEcons
SC4003,CSEcons
SC4061,CSEcons
SC3010,CSEcons
SC4010,CSEcons
SC4011,CSEcons
SC4012,CSEcons
SC4013,CSEcons
SC4014,CSEcons
SC4015,CSEcons
SC4016,CSEcons
SC3020,CSEcons
SC4020,CSEcons
SC4021,CSEcons
SC4022,CSEcons
SC4023,CSEcons
SC4024,CSEcons
SC3030,CSEcons
SC3040,CSEcons
SC3050,CSEcons
SC3060,CSEcons
SC3061,CSEcons
SC4030,CSEcons
SC4031,CSEcons
SC4040,CSEcons
SC4050,CSEcons
SC4051,CSEcons
SC4052,CSEcons
SC4053,CSEcons
SC4054,CSEcons
SC4060,CSEcons
SC4242,CSEcons
SC1003,MACS
SC1005,MACS
MH1100,MACS
MH1200,MACS
MH1300,MACS
CC0003,MACS
CC0002,MACS
HW0001,MACS
SC1006,MACS
SC1007,MACS
MH1101,MACS
MH1201,MACS
MH1301,MACS
CC0001,MACS
CC0005,MACS
SC2001,MACS
SC2002,MACS
SC2005,MACS
MH2100,MACS
MH2500,MACS
CC0006,MACS
SC2006,MACS
SC2207,MACS
SC2008,MACS
PS0002,MACS
ML0004,MACS
CC0007,MACS
SC3079,MACS
SC4079,MACS
MH2220,MACS
MH3100,MACS
MH3101,MACS
MH3220,MACS
MH3210,MACS
MH3300,MACS
MH3320,MACS
MH3400,MACS
MH3401,MACS
MH3500,MACS
MH3510,MACS
MH3511,MACS
MH3512,MACS
MH3520,MACS
MH3600,MACS
MH3700,MACS
MH3701,MACS
MH4100,MACS
MH4110,MACS
MH4200,MACS
MH4300,MACS
MH4301,MACS
MH4302,MACS
MH4310,MACS
MH4311,MACS
MH4500,MACS
MH4501,MACS
MH4510,MACS
MH4511,MACS
MH4512,MACS
MH4513,MACS
MH4514,MACS
MH4515,MACS
MH4517,MACS
MH4518,MACS
MH4519,MACS
MH4522,MACS
MH4600,MACS
MH4601,MACS
MH4700,MACS
MH4701,MACS
MH4702,MACS
SC3000,MACS
SC4000,MACS
SC4001 ,MACS
SC4002,MACS
SC4003,MACS
SC4061,MACS
SC3010,MACS
SC4010,MACS
SC4011,MACS
SC4012,MACS
SC4013,MACS
SC4014,MACS
SC4015,MACS
SC4016,MACS
SC3020,MACS
SC4020,MACS
SC4021,MACS
SC4022,MACS
SC4023,MACS
SC4024,MACS
SC3030,MACS
SC3040,MACS
SC3050,MACS
SC3060,MACS
SC3061,MACS
SC4030,MACS
SC4031,MACS
SC4040,MACS
SC4050,MACS
SC4051,MACS
SC4052,MACS
SC4053,MACS
SC4054,MACS
SC4060,MACS
SC4242,MACS