courseCode,degreeCode,semester
SC1003,CSC,Y1S1
SC1004,CSC,Y1S1
SC1005,CSC,Y1S1
MH1812,CSC,Y1S1
CC0003,CSC,Y1S1
CC0005,CSC,Y1S1
HW0001,CSC,Y1S1
SC1006,CSC,Y1S2
SC1007,CSC,Y1S2
SC1008,CSC,Y1S2
SC2000,CSC,Y1S2
SC2002,CSC,Y1S2
CC0001,CSC,Y1S2
CC0002,CSC,Y1S2
SC2001,CSC,Y2S1
SC2005,CSC,Y2S1
SC2203,CSC,Y2S1
SC2006,CSC,Y2S1
SC2008,CSC,Y2S1
CC0007,CSC,Y2S1
SC2207,CSC,Y2S2
CC0006,CSC,Y2S2
ML0004,CSC,Y2S2
SC2079,CSC,Y3S1
HW0288,CSC,Y3S1
SC3079,CSC,Y3S2
SC4079,CSC,Y4S1
SC4079,CSC,Y4S2
SC1003,CE,Y1S1
SC1004,CE,Y1S1
SC1005,CE,Y1S1
SC1013,CE,Y1S1
EG1001,CE,Y1S1
CC0003,CE,Y1S1
CC0005,CE,Y1S1
HW0001,CE,Y1S1
SC1006,CE,Y1S2
SC1007,CE,Y1S2
SC1008,CE,Y1S2
SC2000,CE,Y1S2
MH1812,CE,Y1S2
CC0001,CE,Y1S2
CC0002,CE,Y1S2
SC2001,CE,Y2S1
SC2002,CE,Y2S1
SC2006,CE,Y2S1
SC2008,CE,Y2S1
SC2107,CE,Y2S1
CC0007,CE,Y2S1
SC2103,CE,Y2S2
SC2005,CE,Y2S2
SC2104,CE,Y2S2
SC3102,CE,Y2S2
CC0006,CE,Y2S2
ML0004,CE,Y2S2
SC3103,CE,Y3S1
SC2079,CE,Y3S1
HW0288,CE,Y3S1
SC3920,CE,Y3S2
SC4079,CE,Y4S1
SC4079,CE,Y4S2
SC1003,DSAI,Y1S1
MH1805,DSAI,Y1S1
MH1812,DSAI,Y1S1
CC0001,DSAI,Y1S1
CC0002,DSAI,Y1S1
SC1007,DSAI,Y1S2
SC2001,DSAI,Y1S2
SC2002,DSAI,Y1S2
CC0003,DSAI,Y1S2
CC0005,DSAI,Y1S2
SC2207,DSAI,Y2S1
SC2006,DSAI,Y2S1
MH2500,DSAI,Y2S1
MH2802,DSAI,Y2S1
CC0006,DSAI,Y2S1
ML0004,DSAI,Y2S1
SC3000,DSAI,Y2S2
SC3021,DSAI,Y2S2
MH3500,DSAI,Y2S2
MH3511,DSAI,Y2S2
HW0218,DSAI,Y2S2
CC0007,DSAI,Y2S2
SC4000,DSAI,Y3S1
SC4020,DSAI,Y3S2
MH2100,DSAI,Y3S3
SD3920,DSAI,Y3S2
SC4079,DSAI,Y4S1
SC4079,DSAI,Y4S2
SC1003,BCG,Y1S1
SC1004,BCG,Y1S1
AB1202,BCG,Y1S1
AB1301,BCG,Y1S1
CC0003,BCG,Y1S1
CC0005,BCG,Y1S1
SC1005,BCG,Y1S2
SC1007,BCG,Y1S2
SC1008,BCG,Y1S2
MH1812,BCG,Y1S2
AD1102,BCG,Y1S2
AB1601,BCG,Y1S2
CC0001,BCG,Y1S2
CC0002,BCG,Y1S2
SC1006,BCG,Y2S1
SC2000,BCG,Y2S1
AB0602,BCG,Y2S1
AB2008,BCG,Y2S1
BC2402,BCG,Y2S1
BC2406,BCG,Y2S1
CC0007,BCG,Y2S1
SC2001,BCG,Y2S2
SC2203,BCG,Y2S2
AB1201,BCG,Y2S2
BC2407,BCG,Y2S2
CC0006,BCG,Y2S2
ML0004,BCG,Y2S2
SC2002,BCG,Y3S1
SC2005,BCG,Y3S1
SC2006,BCG,Y3S1
SC2008,BCG,Y3S1
AB1501,BCG,Y3S1
SC2079,BCG,Y3S2
AD2102,BCG,Y3S2
SC4079,BCG,Y4S1
AB3602,BCG,Y4S1
SC4079,BCG,Y4S2
HE5091,BCG,Y4S2
SC1003,BCE,Y1S1
SC1013,BCE,Y1S1
SC1004,BCE,Y1S1
EG1001,BCE,Y1S1
AB1202,BCE,Y1S1
AB1301,BCE,Y1S1
CC0003,BCE,Y1S1
CC0005,BCE,Y1S1
SC1005,BCE,Y1S2
SC1007,BCE,Y1S2
SC1008,BCE,Y1S2
MH1812,BCE,Y1S2
AD1102,BCE,Y1S2
AB1601,BCE,Y1S2
CC0001,BCE,Y1S2
CC0002,BCE,Y1S2
SC1006,BCE,Y2S1
SC2000,BCE,Y2S1
AB0602,BCE,Y2S1
AB2008,BCE,Y2S1
BC2402,BCE,Y2S1
BC2406,BCE,Y2S1
CC0007,BCE,Y2S1
SC2001,BCE,Y2S2
SC2103,BCE,Y2S2
AB1201,BCE,Y2S2
BC2407,BCE,Y2S2
CC0006,BCE,Y2S2
ML0004,BCE,Y2S2
SC2002,BCE,Y3S1
SC2005,BCE,Y3S1
SC2006,BCE,Y3S1
SC2008,BCE,Y3S1
SC2107,BCE,Y3S1
AB1501,BCE,Y3S1
SC2079,BCE,Y3S2
SC2104,BCE,Y3S2
SC3102,BCE,Y3S2
SC3103,BCE,Y3S2
AD2102,BCE,Y3S2
SC4079,BCE,Y4S1
AB3602,BCE,Y4S1
SC4079,BCE,Y4S2
HE5091,BCE,Y4S2
SC1003,CEEcons,Y1S1
SC1013,CEEcons,Y1S1
SC1005,CEEcons,Y1S1
EG1001,CEEcons,Y1S1
HE1001,CEEcons,Y1S1
HE1002,CEEcons,Y1S1
CC0003,CEEcons,Y1S1
CC0005,CEEcons,Y1S1
SC1004,CEEcons,Y1S2
SC1007,CEEcons,Y1S2
MH1812,CEEcons,Y1S2
SC1008,CEEcons,Y1S2
HE2001,CEEcons,Y1S2
CC0001,CEEcons,Y1S2
CC0002,CEEcons,Y1S2
SC1006,CEEcons,Y2S1
SC2000,CEEcons,Y2S1
SC2107,CEEcons,Y2S1
HE3001,CEEcons,Y2S1
CC0006,CEEcons,Y2S1
ML0004,CEEcons,Y2S1
SC2001,CEEcons,Y2S2
SC2002,CEEcons,Y2S2
SC2103,CEEcons,Y2S2
HE2002,CEEcons,Y2S2
MH1820,CEEcons,Y2S2
CC0007,CEEcons,Y2S2
SC2005,CEEcons,Y3S1
SC2006,CEEcons,Y3S1
SC2008,CEEcons,Y3S1
SC2104,CEEcons,Y3S1
HE2003,CEEcons,Y3S1
HE3002,CEEcons,Y3S1
SC2079,CEEcons,Y3S2
SC3103,CEEcons,Y3S2
HE3003,CEEcons,Y3S2
HW0288,CEEcons,Y3S2
SC3102,CEEcons,Y4S1
SC3920,CEEcons,Y4S2
SC4079,CEEcons,Y5S1
SC4079,CEEcons,Y5S2
SC1003,CSEcons,Y1S1
SC1005,CSEcons,Y1S1
HE1001,CSEcons,Y1S1
HE1002,CSEcons,Y1S1
CC0003,CSEcons,Y1S1
CC0005,CSEcons,Y1S1
SC1004,CSEcons,Y1S2
SC1007,CSEcons,Y1S2
SC1008,CSEcons,Y1S2
MH1812,CSEcons,Y1S2
HE2001,CSEcons,Y1S2
CC0001,CSEcons,Y1S2
CC0002,CSEcons,Y1S2
SC1006,CSEcons,Y2S1
SC2000,CSEcons,Y2S1
SC2002,CSEcons,Y2S1
HE3001,CSEcons,Y2S1
CC0006,CSEcons,Y2S1
ML0004,CSEcons,Y2S1
SC2001,CSEcons,Y2S2
SC2005,CSEcons,Y2S2
SC2006,CSEcons,Y2S2
HE2002,CSEcons,Y2S2
MH1820,CSEcons,Y2S2
CC0007,CSEcons,Y2S2
SC2203,CSEcons,Y3S1
SC2207,CSEcons,Y3S1
SC2008,CSEcons,Y3S1
HE2003,CSEcons,Y3S1
HE3002,CSEcons,Y3S1
SC2079,CSEcons,Y3S2
HE3003,CSEcons,Y3S2
HW0288,CSEcons,Y3S2
SC3920,CSEcons,Y4S2
SC4079,CSEcons,Y5S1
SC4079,CSEcons,Y5S2
SC1003,MACS,Y1S1
SC1005,MACS,Y1S1
MH1100,MACS,Y1S1
MH1200,MACS,Y1S1
MH1300,MACS,Y1S1
CC0003,MACS,Y1S1
CC0002,MACS,Y1S1
HW0001,MACS,Y1S1
SC1006,MACS,Y1S2
SC1007,MACS,Y1S2
MH1101,MACS,Y1S2
MH1201,MACS,Y1S2
MH1301,MACS,Y1S2
CC0001,MACS,Y1S2
CC0005,MACS,Y1S2
SC2001,MACS,Y2S1
SC2002,MACS,Y2S1
SC2005,MACS,Y2S1
MH2100,MACS,Y2S1
MH2500,MACS,Y2S1
CC0006,MACS,Y2S1
SC2006,MACS,Y2S2
SC2207,MACS,Y2S2
SC2008,MACS,Y2S2
PS0002,MACS,Y2S2
ML0004,MACS,Y2S2
CC0007,MACS,Y2S2
SC3079,MACS,Y3S2
SC4079,MACS,Y4S1
SC4079,MACS,Y4S2