degreeCode,specialisationName,courseCode
CE,Artificial_Intelligence,SC3000
CE,Artificial_Intelligence,SC4000
CE,Artificial_Intelligence,SC4001
CE,Artificial_Intelligence,SC4002
CE,Artificial_Intelligence,SC4003
CE,Artificial_Intelligence,SC4061
CE,Artificial_Intelligence,SC4172
CE,Security,SC3010
CE,Security,SC4010
CE,Security,SC4011
CE,Security,SC4012
CE,Security,SC4013
CE,Security,SC4014
CE,Security,SC4015
CE,Security,SC4016
CE,Data_Science,SC4020
CE,Data_Science,SC4021
CE,Data_Science,SC4022
CE,Network,SC3030
CE,Network,SC4030
CE,Network,SC4031
CE,IoT,SC4015
CE,IoT,SC4031
CE,IoT,SC4172
CSC,Artificial_Intelligence,SC3000
CSC,Artificial_Intelligence,SC4000
CSC,Artificial_Intelligence,SC4001
CSC,Artificial_Intelligence,SC4002
CSC,Artificial_Intelligence,SC4003
CSC,Artificial_Intelligence,SC4061
CSC,Security,SC3010
CSC,Security,SC4010
CSC,Security,SC4011
CSC,Security,SC4012
CSC,Security,SC4013
CSC,Security,SC4014
CSC,Security,SC4015
CSC,Security,SC4016
CSC,Data_Science,SC3020
CSC,Data_Science,SC4000
CSC,Data_Science,SC4002
CSC,Data_Science,SC4020
CSC,Data_Science,SC4021
CSC,Data_Science,SC4022
CSC,Data_Science,SC4023
CSC,Data_Science,SC4024
MACS,Theoretical_Computer_Science,MH3300
MACS,Theoretical_Computer_Science,MH3400
MACS,Theoretical_Computer_Science,MH4300
MACS,Theoretical_Computer_Science,MH4301
MACS,Theoretical_Computer_Science,MH4302
MACS,Theoretical_Computer_Science,MH4310
MACS,Theoretical_Computer_Science,MH4311
MACS,Theoretical_Computer_Science,SC4010
MACS,Theoretical_Computer_Science,SC4040
MACS,Theoretical_Computer_Science,SC4050
MACS,Cryptography_and_Cybersecurity,MH2220
MACS,Cryptography_and_Cybersecurity,MH3220
MACS,Cryptography_and_Cybersecurity,MH2200
MACS,Cryptography_and_Cybersecurity,MH3200
MACS,Cryptography_and_Cybersecurity,MH3210
MACS,Cryptography_and_Cybersecurity,MH4310
MACS,Cryptography_and_Cybersecurity,MH4311
MACS,Cryptography_and_Cybersecurity,SC4001
MACS,Cryptography_and_Cybersecurity,SC4010
MACS,Cryptography_and_Cybersecurity,SC4011
MACS,Cryptography_and_Cybersecurity,SC4012
MACS,Cryptography_and_Cybersecurity,SC4013
MACS,Data_Science,MH3510
MACS,Data_Science,MH3511
MACS,Data_Science,MH3701
MACS,Data_Science,MH4500
MACS,Data_Science,MH4510
MACS,Data_Science,MH4511
MACS,Data_Science,MH4513
MACS,Data_Science,MH4515
MACS,Data_Science,MH4516
MACS,Data_Science,MH4517
MACS,Data_Science,MH4518
MACS,Data_Science,SC3020
MACS,Data_Science,SC4020
MACS,Data_Science,SC4000
MACS,Data_Science,SC4011
MACS,Data_Science,SC4022
MACS,Data_Science,SC4023
MACS,Financial_Modelling,MH3510
MACS,Financial_Modelling,MH3512
MACS,Financial_Modelling,MH4110
MACS,Financial_Modelling,MH4500
MACS,Financial_Modelling,MH4510
MACS,Financial_Modelling,MH4514
MACS,Financial_Modelling,MH4518
MACS,Financial_Modelling,MH4519
MACS,Financial_Modelling,SC3020
MACS,Financial_Modelling,SC4021
MACS,Financial_Modelling,SC4000
MACS,Financial_Modelling,SC4001